katakanago	type	JLPTN
コピーする	verb	5
アパート	nom	5
アメリカ	nom	5
インターネット	nom	5
エレベーター	nom	5
カメラ	nom	5
カレー	nom	5
カレンダー	nom	5
ギター	nom	5
キッチン	nom	5
キロ	nom	5
クラス	nom	5
グラム	nom	5
コート	nom	5
コーヒー	nom	5
コップ	nom	5
コンビニ	nom	5
サッカー	nom	5
サラダ	nom	5
シャツ	nom	5
シャワー	nom	5
ジュース	nom	5
スーパー	nom	5
スカート	nom	5
スプーン	nom	5
スポーツ	nom	5
ズボン	nom	5
スマホ	nom	5
スリッパ	nom	5
セーター	nom	5
ゼロ	nom	5
タクシー	nom	5
タバコ	nom	5
テープ	nom	5
テーブル	nom	5
デザート	nom	5
テスト	nom	5
デパート	nom	5
テレビ	nom	5
ドア	nom	5
トイレ	nom	5
	nom	5
ナイフ	nom	5
ニュース	nom	5
ネクタイ	nom	5
ノート	nom	5
パーティー	nom	5
	nom	5
バス	nom	5
パソコン	nom	5
バター	nom	5
パン	nom	5
ハンカチ	nom	5
	nom	5
ビール	nom	5
	nom	5
プール	nom	5
フォーク	nom	5
ページ	nom	5
ベッド	nom	5
ペット	nom	5
ペン	nom	5
ボールペン	nom	5
ポケット	nom	5
ポスト	nom	5
ボタン	nom	5
ホテル	nom	5
マッチ	nom	5
メートル	nom	5
メモ	nom	5
ラーメン	nom	5
ラジオ	nom	5
レストラン	nom	5
ワイシャツ	nom	5
ワイン	nom	5
